Names;Country;room_type;nuitee;reservation_date;traveler_infos;date_review;review_title;grade_review;positive_review;negative_review;usefulness_review;UniqueID;hotel
Karim;Maroc;Chambre Supérieure;1;Octobre 2022;Famille;Commentaire envoyé le 3 janvier 2023;Fabuleux ;9,0;;;0;KarimMarocChambre SupérieureOctobre 2022FamilleCommentaire envoyé le 3 janvier 2023Fabuleux ;Newport_Bay_Club
Julie;France;Chambre Supérieure - Côté Lac;1;Novembre 2022;Famille;Commentaire envoyé le 3 janvier 2023;apprécier;10;propre calme et décoré;nous n’avons pas vu de personnage manque de magie de Disney;0;JulieFranceChambre Supérieure - Côté LacNovembre 2022FamilleCommentaire envoyé le 3 janvier 2023apprécier;Newport_Bay_Club
Mariane;Brésil;Chambre Supérieure - Côté Lac;3;Janvier 2023;Famille;Commentaire envoyé le 3 janvier 2023;Très bien;8,0;;;0;MarianeBrésilChambre Supérieure - Côté LacJanvier 2023FamilleCommentaire envoyé le 3 janvier 2023Très bien;Newport_Bay_Club
Mariane;Brésil;Chambre Supérieure - Côté Lac;3;Janvier 2023;Famille;Commentaire envoyé le 3 janvier 2023;Très bien;8,0;;;0;MarianeBrésilChambre Supérieure - Côté LacJanvier 2023FamilleCommentaire envoyé le 3 janvier 2023Très bien;Newport_Bay_Club
Laurine;France;Chambre Club Compass (2 Adultes);1;Janvier 2023;Couple;Commentaire envoyé le 2 janvier 2023;Décevant. Chambre supérieure mieux que compass club;4,0;Ambiance de l'hôtel;Bruit des ascenseurs dans la chambre toute la nuit + lit double très petit. Surtout en compass club.;0;LaurineFranceChambre Club Compass (2 Adultes)Janvier 2023CoupleCommentaire envoyé le 2 janvier 2023Décevant. Chambre supérieure mieux que compass club;Newport_Bay_Club
Laurine;France;Chambre Club Compass (2 Adultes);1;Janvier 2023;Couple;Commentaire envoyé le 2 janvier 2023;Décevant. Chambre supérieure mieux que compass club;4,0;Ambiance de l'hôtel;Bruit des ascenseurs dans la chambre toute la nuit + lit double très petit. Surtout en compass club.;0;LaurineFranceChambre Club Compass (2 Adultes)Janvier 2023CoupleCommentaire envoyé le 2 janvier 2023Décevant. Chambre supérieure mieux que compass club;Newport_Bay_Club
Laurine;France;Chambre Club Compass (2 Adultes);1;Janvier 2023;Couple;Commentaire envoyé le 2 janvier 2023;Décevant. Chambre supérieure mieux que compass club;4,0;Ambiance de l'hôtel;Bruit des ascenseurs dans la chambre toute la nuit + lit double très petit. Surtout en compass club.;0;LaurineFranceChambre Club Compass (2 Adultes)Janvier 2023CoupleCommentaire envoyé le 2 janvier 2023Décevant. Chambre supérieure mieux que compass club;Newport_Bay_Club
Christelle;France;Chambre Supérieure;1;Décembre 2022;Famille;Commentaire envoyé le 2 janvier 2023;Très bien;8,0;Personnel aux petits soins, chambre propre literie super confortable;La longueur des couloirs pour arriver à la chambre versus l'ascenseur le plus proche, avec une personne qui avait du mal à se déplacer c'était compliqué. Pas de dosette de café dans la chambre, pourtant la cafetière était bien présente ainsi que sa notice;0;ChristelleFranceChambre SupérieureDécembre 2022FamilleCommentaire envoyé le 2 janvier 2023Très bien;Newport_Bay_Club
Maurane;Belgique;Chambre Supérieure;1;Décembre 2022;Groupe;Commentaire envoyé le 2 janvier 2023;magique;10;L’hôtel est magnifique. Spacieux et lumineux;;0;MauraneBelgiqueChambre SupérieureDécembre 2022GroupeCommentaire envoyé le 2 janvier 2023magique;Newport_Bay_Club
Céline;France;Chambre Supérieure;1;Janvier 2023;Groupe;Commentaire envoyé le 2 janvier 2023;Exceptionnel;10;"L emplacement proche du parc
Le personnel très agréable";;0;CélineFranceChambre SupérieureJanvier 2023GroupeCommentaire envoyé le 2 janvier 2023Exceptionnel;Newport_Bay_Club
