room_type;id_hotel;id_room
Chambre Standard Woody's Roundup;8e91af37-81a4-40d6-a123-708455813b70;3fd69528-3808-42db-8b85-5478b1092a14
;8e91af37-81a4-40d6-a123-708455813b70;cb6b015a-de66-44ac-8039-a151f9760e81
Chambre Double/Lit Gigogne Woody's Roundup - Côté Rivière;8e91af37-81a4-40d6-a123-708455813b70;ea86ade4-acf9-45f9-960d-5136838c2649
Chambre Woody's Roundup à Proximité des Installations;8e91af37-81a4-40d6-a123-708455813b70;368c41a7-0b4c-416e-930f-c1da19b32170
Chambre Standard Woody's Roundup (2 Adultes + 2 Enfants);8e91af37-81a4-40d6-a123-708455813b70;01c8911e-7298-44f8-b630-a6e155ad5e96
Chambre Woody's Roundup Standard (1 Adulte + 3 Enfants);8e91af37-81a4-40d6-a123-708455813b70;65ca91b6-370c-42af-bf18-2b38c218e290
Chambre Woody's Roundup avec Lit Double/Gigogne (2 Adultes + 2 Enfants) - Côté Rivière;8e91af37-81a4-40d6-a123-708455813b70;a7858be4-edf2-4dc4-a812-c63f1be033c5
Chambre Woody's Roundup – Proche Installations Hôtelières (2 Adultes + 2 Enfants);8e91af37-81a4-40d6-a123-708455813b70;c5111914-985b-4664-bdfe-98982afcb20d
Chambre Standard Woody's Roundup (3 Adultes + 1 Enfant);8e91af37-81a4-40d6-a123-708455813b70;10ca1f54-e7aa-44e5-90d4-d573b7dcfd83
Chambre Woody's Roundup proche Installations Hôtelières (3 Adultes + 1 Enfant);8e91af37-81a4-40d6-a123-708455813b70;a6ad3d3a-addd-4f92-84a3-2a337be40980
Chambre Woody's Roundup – Proche Installations Hôtelières (1 Adulte + 3 Enfants);8e91af37-81a4-40d6-a123-708455813b70;40a11a70-93e2-4b4d-87dc-aaeb632d602c
Chambre Woody's Roundup avec Lit Double/Gigogne – Côté Rivière (3 Adultes + 1 Enfant);8e91af37-81a4-40d6-a123-708455813b70;c8036582-82b1-49c2-822d-aa48434c07b6
Chambre avec Lit Double/Gigogne Woody's Roundup - proche Installations Hôtelières (2 Adultes + 2 Enfants);8e91af37-81a4-40d6-a123-708455813b70;d765fa6a-b78f-4d99-bb32-289185993e26
Chambre Woody's Roundup avec Lit Double/Gigogne – Côté Rivière (1 Adulte + 3 Enfants);8e91af37-81a4-40d6-a123-708455813b70;eaa54d54-7dc7-472f-bf97-841677ce3d31
Chambre Woody's Roundup avec Lit Double/Gigogne - proche Installations Hôtelières (3 Adultes + 1 Enfant);8e91af37-81a4-40d6-a123-708455813b70;571179bf-b6c6-4fd0-916a-db1fec034c60
Chambre Woody's Roundup (2 Adultes + 2 Enfants) - Côté Rivière;8e91af37-81a4-40d6-a123-708455813b70;d096f329-9938-40cf-861a-c894e0a8bd06
Chambre avec Lit Double/Gigogne Woody's Roundup - proche Installations Hôtelières (1 Adulte + 3 Enfants);8e91af37-81a4-40d6-a123-708455813b70;ef0efc73-8307-48a2-9b56-99c44f4677bb
Bungalow Tribu Trappeur;ed33c7d9-a17c-4d55-9a12-4f1b14c28805;c12bec96-1e6f-40ab-b2bf-2d34ec47a928
Bungalow Tribu Pionnier;ed33c7d9-a17c-4d55-9a12-4f1b14c28805;e197c0b2-6c3c-4f09-ba27-a17d75787714
;ed33c7d9-a17c-4d55-9a12-4f1b14c28805;c90bb4e3-b3a9-498d-bd47-98e95250ae29
Bungalow Tribu Pionnier (2 Adultes + 4 Enfants);ed33c7d9-a17c-4d55-9a12-4f1b14c28805;f3b41c67-a4ca-4551-bc62-8cab24a30681
Bungalow Tribu Trappeur (3 Adultes + 3 Enfants);ed33c7d9-a17c-4d55-9a12-4f1b14c28805;071c3937-1490-411f-85de-d618bd7c05e5
Bungalow Tribu Trappeur (2 Adultes + 4 Enfants);ed33c7d9-a17c-4d55-9a12-4f1b14c28805;4bf56875-7c03-4eb3-bff6-92ef734b2f00
Bungalow Tribu Trappeur (4 Adultes + 2 Enfants);ed33c7d9-a17c-4d55-9a12-4f1b14c28805;f8804fc4-b01f-4e93-9f72-9880ca836b2f
Bungalow Tribu Pionnier (4 Adultes + 2 Enfants);ed33c7d9-a17c-4d55-9a12-4f1b14c28805;c3eca9de-c5b2-4c41-9fde-e1a3f145bd24
Bungalow Tribu Trappeur (5 Adultes + 1 Enfant);ed33c7d9-a17c-4d55-9a12-4f1b14c28805;e88e2ffc-ba23-400a-94bd-faac44c41769
Bungalow Tribu Premium (5 Adultes + 1 Enfant);ed33c7d9-a17c-4d55-9a12-4f1b14c28805;65980eb0-26e4-4366-8bfa-1ce931b53a12
Bungalow Tribu Premium (2 Adultes + 4 Enfants);ed33c7d9-a17c-4d55-9a12-4f1b14c28805;3fec6a1b-6a09-474a-a080-b3b26728ec6c
