Names;Country;room_type;nuitee;reservation_date;traveler_infos;date_review;review_title;grade_review;positive_review;negative_review;usefulness_review;UniqueID;hotel
Adamik;Suisse;Chambre Club Compass - Côté Lac (2 Adultes);1;Janvier 2023;Couple;Commentaire envoyé le 1 février 2023;Exceptionnel;10;;;0;AdamikSuisseChambre Club Compass - Côté Lac (2 Adultes)Janvier 2023CoupleCommentaire envoyé le 1 février 2023Exceptionnel;Newport_Bay_Club
Caroline;France;Chambre Supérieure;1;Janvier 2023;Famille;Commentaire envoyé le 31 janvier 2023;Exceptionnel;10;;;0;CarolineFranceChambre SupérieureJanvier 2023FamilleCommentaire envoyé le 31 janvier 2023Exceptionnel;Newport_Bay_Club
Yi;Taïwan;Chambre Supérieure;1;Janvier 2023;Famille;Commentaire envoyé le 31 janvier 2023;Passable;5,0;;;0;YiTaïwanChambre SupérieureJanvier 2023FamilleCommentaire envoyé le 31 janvier 2023Passable;Newport_Bay_Club
Antoine;France;Chambre Supérieure;1;Janvier 2023;Groupe;Commentaire envoyé le 31 janvier 2023;Passable;5,0;;;0;AntoineFranceChambre SupérieureJanvier 2023GroupeCommentaire envoyé le 31 janvier 2023Passable;Newport_Bay_Club
Jensmkl;Allemagne;Chambre Supérieure;1;Janvier 2023;Couple;Commentaire envoyé le 30 janvier 2023;Urlaub zu Zweit;8,0;;;0;JensmklAllemagneChambre SupérieureJanvier 2023CoupleCommentaire envoyé le 30 janvier 2023Urlaub zu Zweit;Newport_Bay_Club
Βασιλης;Grèce;Chambre Supérieure - Côté Lac;3;Janvier 2023;Famille;Commentaire envoyé le 30 janvier 2023;Bien ;7,0;;;0;ΒασιληςGrèceChambre Supérieure - Côté LacJanvier 2023FamilleCommentaire envoyé le 30 janvier 2023Bien ;Newport_Bay_Club
Li;France;Chambre Supérieure;2;Janvier 2023;Famille;Commentaire envoyé le 29 janvier 2023;Décevant;4,0;;;0;LiFranceChambre SupérieureJanvier 2023FamilleCommentaire envoyé le 29 janvier 2023Décevant;Newport_Bay_Club
Danielle;Espagne;Chambre Supérieure;2;Janvier 2023;Famille;Commentaire envoyé le 29 janvier 2023;Fabuleux ;9,0;;;0;DanielleEspagneChambre SupérieureJanvier 2023FamilleCommentaire envoyé le 29 janvier 2023Fabuleux ;Newport_Bay_Club
Fabiana;Brésil;Chambre Supérieure;1;Janvier 2023;Famille;Commentaire envoyé le 29 janvier 2023;Bien ;7,0;;;0;FabianaBrésilChambre SupérieureJanvier 2023FamilleCommentaire envoyé le 29 janvier 2023Bien ;Newport_Bay_Club
Anne;France;Chambre Supérieure;1;Janvier 2023;Famille;Commentaire envoyé le 28 janvier 2023;Exceptionnel;10;Chambre confortable. Personnel sympathique. Personnages en soirée;Rien;0;AnneFranceChambre SupérieureJanvier 2023FamilleCommentaire envoyé le 28 janvier 2023Exceptionnel;Newport_Bay_Club
Ali;Émirats arabes unis;Chambre Supérieure - Côté Lac;1;Décembre 2022;Voyageur individuel;Commentaire envoyé le 28 janvier 2023;Très bien;8,0;;;0;AliÉmirats arabes unisChambre Supérieure - Côté LacDécembre 2022Voyageur individuelCommentaire envoyé le 28 janvier 2023Très bien;Newport_Bay_Club
Céline;Belgique;Chambre Supérieure;1;Janvier 2023;Voyageur individuel;Commentaire envoyé le 28 janvier 2023;Très bien;8,0;;;0;CélineBelgiqueChambre SupérieureJanvier 2023Voyageur individuelCommentaire envoyé le 28 janvier 2023Très bien;Newport_Bay_Club
Karla;Mexique;Chambre Supérieure;1;Janvier 2023;Famille;Commentaire envoyé le 28 janvier 2023;Exceptionnel;10;;;0;KarlaMexiqueChambre SupérieureJanvier 2023FamilleCommentaire envoyé le 28 janvier 2023Exceptionnel;Newport_Bay_Club
Tim;Pays-Bas;Chambre Supérieure;2;Janvier 2023;Groupe;Commentaire envoyé le 28 janvier 2023;Betoverend;8,0;;;0;TimPays-BasChambre SupérieureJanvier 2023GroupeCommentaire envoyé le 28 janvier 2023Betoverend;Newport_Bay_Club
Takahashi;Japon;Chambre Supérieure - Côté Lac;1;Janvier 2023;Famille;Commentaire envoyé le 28 janvier 2023;キャラクターと写真撮れてよかった;6,0;;;0;TakahashiJaponChambre Supérieure - Côté LacJanvier 2023FamilleCommentaire envoyé le 28 janvier 2023キャラクターと写真撮れてよかった;Newport_Bay_Club
Yavuz;Turquie;Chambre Supérieure - Côté Lac;2;Janvier 2023;Famille;Commentaire envoyé le 28 janvier 2023;fiyasko;2,0;;;0;YavuzTurquieChambre Supérieure - Côté LacJanvier 2023FamilleCommentaire envoyé le 28 janvier 2023fiyasko;Newport_Bay_Club
Fatemah;Koweït;Chambre Supérieure - Côté Lac;2;Janvier 2023;Famille;Commentaire envoyé le 27 janvier 2023;Fabuleux ;9,0;;;0;FatemahKoweïtChambre Supérieure - Côté LacJanvier 2023FamilleCommentaire envoyé le 27 janvier 2023Fabuleux ;Newport_Bay_Club
Dennie;Pays-Bas;Chambre Supérieure - Côté Lac;3;Décembre 2022;Famille;Commentaire envoyé le 27 janvier 2023;Passable;5,0;;;0;DenniePays-BasChambre Supérieure - Côté LacDécembre 2022FamilleCommentaire envoyé le 27 janvier 2023Passable;Newport_Bay_Club
Ophelie;France;Chambre Supérieure;1;Janvier 2023;Famille;Commentaire envoyé le 27 janvier 2023;Fabuleux ;9,0;;;0;OphelieFranceChambre SupérieureJanvier 2023FamilleCommentaire envoyé le 27 janvier 2023Fabuleux ;Newport_Bay_Club
Theophas;République démocratique du Congo;Chambre Supérieure - Côté Lac;3;Décembre 2022;Famille;Commentaire envoyé le 27 janvier 2023;Médiocre ;2,0;;;0;TheophasRépublique démocratique du CongoChambre Supérieure - Côté LacDécembre 2022FamilleCommentaire envoyé le 27 janvier 2023Médiocre ;Newport_Bay_Club
Defne;Turquie;Chambre Supérieure - Côté Lac;2;Janvier 2023;Famille;Commentaire envoyé le 27 janvier 2023;Fabuleux ;9,0;;;0;DefneTurquieChambre Supérieure - Côté LacJanvier 2023FamilleCommentaire envoyé le 27 janvier 2023Fabuleux ;Newport_Bay_Club
Sarah;France;Chambre Supérieure;1;Janvier 2023;Famille;Commentaire envoyé le 27 janvier 2023;Très bien;6,0;Petit déjeuner merveilleux;La piscine est beaucoup trop froide pas possible de si baigner, hammam fermé;0;SarahFranceChambre SupérieureJanvier 2023FamilleCommentaire envoyé le 27 janvier 2023Très bien;Newport_Bay_Club
Simona;France;Chambre Supérieure;1;Décembre 2022;Famille;Commentaire envoyé le 27 janvier 2023;Fabuleux ;9,0;;;0;SimonaFranceChambre SupérieureDécembre 2022FamilleCommentaire envoyé le 27 janvier 2023Fabuleux ;Newport_Bay_Club
Emi38;France;Chambre Supérieure;1;Janvier 2023;Famille;Commentaire envoyé le 27 janvier 2023;Très bien;8,0;Le personnel très agréable et efficace.;Dans la salle de bain, la porte de douche n'est pas étanche..;0;Emi38FranceChambre SupérieureJanvier 2023FamilleCommentaire envoyé le 27 janvier 2023Très bien;Newport_Bay_Club
Yolanda;Suisse;Chambre Supérieure avec Terrasse;2;Janvier 2023;Famille;Commentaire envoyé le 26 janvier 2023;Exceptionnel;10;Toujours au top;Il y a avait la douche qui ne fonctionnait pas bien mais le problème à été vite régler;0;YolandaSuisseChambre Supérieure avec TerrasseJanvier 2023FamilleCommentaire envoyé le 26 janvier 2023Exceptionnel;Newport_Bay_Club
Léa;France;Chambre Supérieure;1;Janvier 2023;Famille;Commentaire envoyé le 26 janvier 2023;;10;;;0;LéaFranceChambre SupérieureJanvier 2023FamilleCommentaire envoyé le 26 janvier 2023nan;Newport_Bay_Club
Leilalettifi;France;Chambre Supérieure;1;Janvier 2023;Famille;Commentaire envoyé le 26 janvier 2023;Très bien;8,0;Accueil du personnel réception, sécurité, restaurant, piscine. Repas. Confort literie. Accessibilité demandée accordée pour la chambre et la place au restaurant. Emplacement. Calme chambre.;Les irrespectueux à la piscine qui sautaient dans le jacuzzi et n'ont jamais cédé leur place, nous étions plusieurs à attendre notre tour, mais le personnel n'est jamais intervenu. Nous sommes répartis vite, la piscine pas assez chauffée. Le tarif.;0;LeilalettifiFranceChambre SupérieureJanvier 2023FamilleCommentaire envoyé le 26 janvier 2023Très bien;Newport_Bay_Club
Mickael;France;Chambre Supérieure - Côté Lac;1;Janvier 2023;Couple;Commentaire envoyé le 26 janvier 2023;Hôtel à éviter !;1,0;le bar restaurant très sympa, agréable et délicieux;"L’emplacement de la chambre à l’autre bout de l’hôtel alors que j’avais spécifié que je venais avec une personne handicapé, on nous a laissé dans cette chambre sans possibilité d’en avoir une plus proche de l’ascenseur, une honte…
De plus il faisait très froid dans la chambre, très désagréable.
Tout ça pour un prix exorbitant qui ne vaut pas du tout les prestations minables et personnel incompétents.
Hotel à éviter.";0;MickaelFranceChambre Supérieure - Côté LacJanvier 2023CoupleCommentaire envoyé le 26 janvier 2023Hôtel à éviter !;Newport_Bay_Club
Celine;France;Chambre Supérieure;2;Janvier 2023;Voyageur individuel;Commentaire envoyé le 26 janvier 2023;Fabuleux ;9,0;;;0;CelineFranceChambre SupérieureJanvier 2023Voyageur individuelCommentaire envoyé le 26 janvier 2023Fabuleux ;Newport_Bay_Club
Marco;Italie;Chambre Supérieure;3;Janvier 2023;Couple;Commentaire envoyé le 26 janvier 2023;Très bien;8,0;;;0;MarcoItalieChambre SupérieureJanvier 2023CoupleCommentaire envoyé le 26 janvier 2023Très bien;Newport_Bay_Club
