index;Names;Country;room_type;nuitee;reservation_date;traveler_infos;date_review;review_title;grade_review;positive_review;negative_review;usefulness_review;hotel;level_grade_review;level_hotel;month_str;month_num;year;delay_comment;date
0;Ludovic;La Réunion;Chambre Supérieure - Côté Lac;2;Octobre 2022;Famille; 9 octobre 2022;Inoubliable;10.0;"Le petit déjeuner et l'excellent buffet pour le dîner du soir.
Choix et qualités des plats.";;0;Disney's Newport Bay Club;2;6;octobre;10;2022;0;2022-10-09
1;Julien;France;Chambre Supérieure;1;Décembre 2022;Couple; 15 décembre 2022;Très bien;8.0;"Les navettes pour accéder au parc,
La taille de la chambre,
La personnalisation de la télé.";R.a.s;0;Disney's Newport Bay Club;2;6;décembre;12;2022;0;2022-12-15
2;Celine;France;Chambre Supérieure;2;Décembre 2022;Famille; 14 décembre 2022;Agréable;6.0;Û;;0;Disney's Newport Bay Club;1;6;décembre;12;2022;0;2022-12-14
3;Diego;France;Chambre Supérieure;1;Novembre 2022;Famille; 30 novembre 2022;Agréable;6.0;la proximité du parc Disneyland Paris;la qualité de la chambre n’était pas top, vieux équipements, rapport qualité prix n’est pas correct;0;Disney's Newport Bay Club;1;6;novembre;11;2022;0;2022-11-30
4;Fabienne;Belgique;Chambre Supérieure;1;Novembre 2022;Famille; 18 novembre 2022;déçue qualité prix;6.0;l emplacement;la propreté;0;Disney's Newport Bay Club;1;6;novembre;11;2022;0;2022-11-18
5;Pierre;France;Chambre Supérieure;1;Novembre 2022;Famille; 14 novembre 2022;très moyen par rapport au prix;6.0;très bon personnel dédié mais la sécurité fait du zèle;hôtel très vieillissant et pas de shampoing gel douche;0;Disney's Newport Bay Club;1;6;novembre;11;2022;0;2022-11-14
6;Christine;France;Chambre Supérieure;1;Novembre 2022;Famille; 10 novembre 2022;Très bien;8.0;"La décoration de la chambre est adorable.
On a une bouilloire pour préparer du thé ou du café.
On a un large choix au petit déjeuné.
La piscine est top. Pas beaucoup de monde.
La boutique dans l hôtel est super pratique.";"La porte ne marchait pas bien.
Quand on met le badge. Il ne s ouvre pas du premier coup. On a du ré essayer pleins de fois.
La télé avait beaucoup d option en plus des chaînes normaux. Mais il fallait attendre longtemps pour passer d'un onglet a un autre.";0;Disney's Newport Bay Club;2;6;novembre;11;2022;0;2022-11-10
7;Gilles;France;Chambre Supérieure;1;Octobre 2022;Voyageur individuel; 1 novembre 2022;Comme une ambiance de croisière Disney;8.0;L'ambiance nautique de l'hôtel et la qualité des infrastructures rendent cette hôtel disney très agréable. Tout est mis en place pour que l'on se sentent bien après une belle journée au parc. Piscine & salle de sport ( serviettes fournis à discrétion ) , restaurant, bar et même une boutique Disney dans l'hôtel. Dans la chambre, machine à café senseo, thé et eau minéral.;Peut être le fait qu'on ne m'ait pas offert de badge en rapport avec la saison d'halloween :/ Mais sincèrement c'est vraiment pour trouver quelque chose !!;0;Disney's Newport Bay Club;2;6;octobre;10;2022;1;2022-11-01
8;Nino;Suisse;Chambre Supérieure;2;Octobre 2022;Famille; 19 octobre 2022;très bon moment passé en famille;7.0;je pense qu’il serait judicieux afin que l’on fasse un effort collectif concernant nos énergie d’éteindre les lumières à partir de minuit concernant la piscine extérieure et les guirlandes lumineuses;;0;Disney's Newport Bay Club;1;6;octobre;10;2022;0;2022-10-19
9;Anne-sophie;Suisse;Chambre Supérieure;2;Octobre 2022;Famille; 14 octobre 2022;agreable, très couteux;7.0;le personnel;"vieux (join, accessoires) et cher 
repas beaucoup trop cher pr les enfants";0;Disney's Newport Bay Club;1;6;octobre;10;2022;0;2022-10-14
