Names;Country;room_type;nuitee;reservation_date;traveler_infos;date_review;review_title;grade_review;positive_review;negative_review;usefulness_review;UniqueID;hotel
Giovanni;Italie;Chambre Double/Lit Gigogne Woody's Roundup - Côté Rivière;1;Janvier 2023;Famille;Commentaire envoyé le 3 janvier 2023;Bien ;7,0;;;0;GiovanniItalieChambre Double/Lit Gigogne Woody's Roundup - Côté RivièreJanvier 2023FamilleCommentaire envoyé le 3 janvier 2023Bien ;Cheyenne
Davide;Italie;Chambre Standard Woody's Roundup;1;Décembre 2022;Groupe;Commentaire envoyé le 3 janvier 2023;Agréable;6,0;;;0;DavideItalieChambre Standard Woody's RoundupDécembre 2022GroupeCommentaire envoyé le 3 janvier 2023Agréable;Cheyenne
Francois;Belgique;Chambre Standard Woody's Roundup;1;Décembre 2022;Couple;Commentaire envoyé le 3 janvier 2023;séjour agréable dans l’hôtel bas de gamme en équipements haut de gamme en prix;5,0;thème de l’hôtel respecte et distance par rapport aux parcs nickel , navettes régulières pour aller aux parcs;pas d’équipements pour le prix payé. ..;0;FrancoisBelgiqueChambre Standard Woody's RoundupDécembre 2022CoupleCommentaire envoyé le 3 janvier 2023séjour agréable dans l’hôtel bas de gamme en équipements haut de gamme en prix;Cheyenne
Joyce;Irlande;Chambre Woody's Roundup à Proximité des Installations;1;Décembre 2022;Famille;Commentaire envoyé le 3 janvier 2023;Fantastic family stay;8,0;;;0;JoyceIrlandeChambre Woody's Roundup à Proximité des InstallationsDécembre 2022FamilleCommentaire envoyé le 3 janvier 2023Fantastic family stay;Cheyenne
Emile;France;Chambre Standard Woody's Roundup;3;Décembre 2022;Famille;Commentaire envoyé le 3 janvier 2023;Pratique mais onéreux;7,0;"Emplacement à proximité du parc : top 
Navettes gratuites et à bonne fréquence pour se rendre au parc.
Chambre spacieuse et confortable";"Prix exorbitant - mais c’est Disney, on le sait en réservant.
Offre restauration dans l’hôtel trop réduite.";0;EmileFranceChambre Standard Woody's RoundupDécembre 2022FamilleCommentaire envoyé le 3 janvier 2023Pratique mais onéreux;Cheyenne
Lingxue;Singapour;Chambre Standard Woody's Roundup;1;Janvier 2023;Famille;Commentaire envoyé le 2 janvier 2023;Agréable;6,0;;;0;LingxueSingapourChambre Standard Woody's RoundupJanvier 2023FamilleCommentaire envoyé le 2 janvier 2023Agréable;Cheyenne
Lingxue;Singapour;Chambre Standard Woody's Roundup;1;Janvier 2023;Famille;Commentaire envoyé le 2 janvier 2023;Agréable;6,0;;;0;LingxueSingapourChambre Standard Woody's RoundupJanvier 2023FamilleCommentaire envoyé le 2 janvier 2023Agréable;Cheyenne
Guy;Belgique;Chambre Standard Woody's Roundup;2;Décembre 2022;Famille;Commentaire envoyé le 2 janvier 2023;Fabuleux ;9,0;;;0;GuyBelgiqueChambre Standard Woody's RoundupDécembre 2022FamilleCommentaire envoyé le 2 janvier 2023Fabuleux ;Cheyenne
Tiffany;Belgique;Chambre Standard Woody's Roundup;1;Janvier 2023;Famille;Commentaire envoyé le 2 janvier 2023;magique;10;le thème, la rapidité du personnel quand on demande quelque chose;;0;TiffanyBelgiqueChambre Standard Woody's RoundupJanvier 2023FamilleCommentaire envoyé le 2 janvier 2023magique;Cheyenne
Morgane;France;Chambre Standard Woody's Roundup;1;Novembre 2022;Famille;Commentaire envoyé le 1 janvier 2023;Agréable;6,0;;;0;MorganeFranceChambre Standard Woody's RoundupNovembre 2022FamilleCommentaire envoyé le 1 janvier 2023Agréable;Cheyenne
