Names;Country;room_type;nuitee;reservation_date;traveler_infos;date_review;review_title;grade_review;positive_review;negative_review;usefulness_review;UniqueID;hotel
Florence;France;Chambre Supérieure - Vue sur Jardin;1;Décembre 2022;Famille;Commentaire envoyé le 3 janvier 2023;Très bien;8,0;;;0;FlorenceFranceChambre Supérieure - Vue sur JardinDécembre 2022FamilleCommentaire envoyé le 3 janvier 2023Très bien;New_York
Ruman;Royaume-Uni;Chambre Supérieure;3;Janvier 2023;Famille;Commentaire envoyé le 2 janvier 2023;Exceptionnel;10;;;0;RumanRoyaume-UniChambre SupérieureJanvier 2023FamilleCommentaire envoyé le 2 janvier 2023Exceptionnel;New_York
Ruman;Royaume-Uni;Chambre Supérieure;3;Janvier 2023;Famille;Commentaire envoyé le 2 janvier 2023;Exceptionnel;10;;;0;RumanRoyaume-UniChambre SupérieureJanvier 2023FamilleCommentaire envoyé le 2 janvier 2023Exceptionnel;New_York
Ruman;Royaume-Uni;Chambre Supérieure;3;Janvier 2023;Famille;Commentaire envoyé le 2 janvier 2023;Exceptionnel;10;;;0;RumanRoyaume-UniChambre SupérieureJanvier 2023FamilleCommentaire envoyé le 2 janvier 2023Exceptionnel;New_York
Ludovic;France;Chambre Supérieure;1;Décembre 2022;Famille;Commentaire envoyé le 2 janvier 2023;Exceptionnel;10;;;0;LudovicFranceChambre SupérieureDécembre 2022FamilleCommentaire envoyé le 2 janvier 2023Exceptionnel;New_York
Dario;Suisse;Chambre Supérieure avec Terrasse;1;Janvier 2023;Couple;Commentaire envoyé le 2 janvier 2023;Exceptionnel;10;;;0;DarioSuisseChambre Supérieure avec TerrasseJanvier 2023CoupleCommentaire envoyé le 2 janvier 2023Exceptionnel;New_York
Sabine;Allemagne;Chambre Supérieure - Vue sur Jardin;1;Décembre 2022;Famille;Commentaire envoyé le 2 janvier 2023;praktisch für einen Disneyland Besuch, aber auch recht teuer;8,0;;;0;SabineAllemagneChambre Supérieure - Vue sur JardinDécembre 2022FamilleCommentaire envoyé le 2 janvier 2023praktisch für einen Disneyland Besuch, aber auch recht teuer;New_York
Shaiful;Brunei;Chambre Supérieure avec Terrasse;2;Décembre 2022;Famille;Commentaire envoyé le 1 janvier 2023;Bien ;7,0;;;0;ShaifulBruneiChambre Supérieure avec TerrasseDécembre 2022FamilleCommentaire envoyé le 1 janvier 2023Bien ;New_York
Anonyme;France;;1;Décembre 2022;Famille;Commentaire envoyé le 1 janvier 2023;Passable;5,0;;;0;AnonymeFrancenanDécembre 2022FamilleCommentaire envoyé le 1 janvier 2023Passable;New_York
Aston;Pays-Bas;Chambre Supérieure - Vue sur Jardin;2;Décembre 2022;Famille;Commentaire envoyé le 28 décembre 2022;Gezin of geen gezin is een aanrader dit hotel;8,0;;;0;AstonPays-BasChambre Supérieure - Vue sur JardinDécembre 2022FamilleCommentaire envoyé le 28 décembre 2022Gezin of geen gezin is een aanrader dit hotel;New_York
Kate;Allemagne;Chambre Supérieure - Vue sur Jardin;3;Octobre 2022;Famille;Commentaire envoyé le 27 décembre 2022;Fabuleux ;9,0;;;0;KateAllemagneChambre Supérieure - Vue sur JardinOctobre 2022FamilleCommentaire envoyé le 27 décembre 2022Fabuleux ;New_York
Marlène;France;Chambre Supérieure - Vue sur Jardin;1;Décembre 2022;Famille;Commentaire envoyé le 27 décembre 2022;Exceptionnel;10;;;0;MarlèneFranceChambre Supérieure - Vue sur JardinDécembre 2022FamilleCommentaire envoyé le 27 décembre 2022Exceptionnel;New_York
Isa;Bahreïn;Chambre Supérieure;4;Décembre 2022;Famille;Commentaire envoyé le 27 décembre 2022;Bien ;7,0;;;0;IsaBahreïnChambre SupérieureDécembre 2022FamilleCommentaire envoyé le 27 décembre 2022Bien ;New_York
Tovit;Israël;Chambre Supérieure;2;Décembre 2022;Famille;Commentaire envoyé le 26 décembre 2022;Fabuleux ;9,0;;;0;TovitIsraëlChambre SupérieureDécembre 2022FamilleCommentaire envoyé le 26 décembre 2022Fabuleux ;New_York
Bernecie;Australie;Chambre Supérieure - Vue sur Jardin;6;Décembre 2022;Famille;Commentaire envoyé le 25 décembre 2022;Exceptionnel;10;;;0;BernecieAustralieChambre Supérieure - Vue sur JardinDécembre 2022FamilleCommentaire envoyé le 25 décembre 2022Exceptionnel;New_York
Anonyme;France;;1;Décembre 2022;Famille;Commentaire envoyé le 25 décembre 2022;Séjour idyllique en famille;10;Superbe chambre, calme. De plus se situe à quelques minutes du parc. personnel extrêmement sympathique. Merci à toute l’équipe !;Tout était parfait;0;AnonymeFrancenanDécembre 2022FamilleCommentaire envoyé le 25 décembre 2022Séjour idyllique en famille;New_York
Faride;France;Chambre Supérieure avec Terrasse;2;Décembre 2022;Famille;Commentaire envoyé le 24 décembre 2022;Très bien;8,0;;;0;FarideFranceChambre Supérieure avec TerrasseDécembre 2022FamilleCommentaire envoyé le 24 décembre 2022Très bien;New_York
