Names;Country;room_type;nuitee;reservation_date;traveler_infos;date_review;review_title;grade_review;positive_review;negative_review;usefulness_review;UniqueID;hotel
Biomath96;Belgique;Chambre Standard Proche des Installations Hôtelières;3;Décembre 2022;Couple;Commentaire envoyé le 1 janvier 2023;Bien ;7;empty;empty;0;Biomath96BelgiqueChambre Standard Proche des Installations HôtelièresDécembre 2022CoupleCommentaire envoyé le 1 janvier 2023Bien ;Sequoia_Lodge
Krishentha;Pays-Bas;Chambre Standard Proche des Installations Hôtelières;3;Décembre 2022;Famille;Commentaire envoyé le 1 janvier 2023;Good;10;;;Na;KrishenthaPays-BasChambre Standard Proche des Installations HôtelièresDécembre 2022FamilleCommentaire envoyé le 1 janvier 2023Good;Sequoia_Lodge
Tiran;Australie;Chambre Standard Proche des Installations Hôtelières - Côté Lac;3;Décembre 2022;Couple;Commentaire envoyé le 31 décembre 2022;Très bien;8;empty;empty;0;TiranAustralieChambre Standard Proche des Installations Hôtelières - Côté LacDécembre 2022CoupleCommentaire envoyé le 31 décembre 2022Très bien;Sequoia_Lodge
Julie;Belgique;Chambre Golden Forest Club - Côté Lac;2;Décembre 2022;Famille;Commentaire envoyé le 31 décembre 2022;Très bien;8;Proximité du parc.;Les prix de plus en plus elever .;Na;JulieBelgiqueChambre Golden Forest Club - Côté LacDécembre 2022FamilleCommentaire envoyé le 31 décembre 2022Très bien;Sequoia_Lodge
Jennifer;France;Chambre Standard;1;Décembre 2022;Famille;Commentaire envoyé le 30 décembre 2022;Exceptionnel;10;Le cadre est magnifique;Je ne vois pas;Na;JenniferFranceChambre StandardDécembre 2022FamilleCommentaire envoyé le 30 décembre 2022Exceptionnel;Sequoia_Lodge
Georges;Belgique;Chambre Standard Proche des Installations Hôtelières;3;Décembre 2022;Famille;Commentaire envoyé le 30 décembre 2022;Séjour agréable en famille;7;Hôtel bien situé et thématisé. Le personnel est très sympathique. Le bar et le repas du soir (buffet) sont top en hiver. La piscine est très agréable également.;L’hôtel (surtout les chambres) mériterait une rénovation. Nous savions cependant qu’il était vieillissant donc nous n’étions pas surpris. Les lits ne sont pas confortables.;Na;GeorgesBelgiqueChambre Standard Proche des Installations HôtelièresDécembre 2022FamilleCommentaire envoyé le 30 décembre 2022Séjour agréable en famille;Sequoia_Lodge
Consuelo;Espagne;Chambre Standard Proche des Installations Hôtelières;3;Décembre 2022;Groupe;Commentaire envoyé le 30 décembre 2022;Très bien;8;empty;empty;0;ConsueloEspagneChambre Standard Proche des Installations HôtelièresDécembre 2022GroupeCommentaire envoyé le 30 décembre 2022Très bien;Sequoia_Lodge
Sandrine;France;Chambre Golden Forest Club;1;Décembre 2022;Famille;Commentaire envoyé le 29 décembre 2022;parfait;8;le golden forest;les autres clients sans notions de respect!;Na;SandrineFranceChambre Golden Forest ClubDécembre 2022FamilleCommentaire envoyé le 29 décembre 2022parfait;Sequoia_Lodge
Melina;France;Chambre Standard;3;nov-22;Famille;Commentaire envoyé le 29 décembre 2022;Fabuleux ;9;empty;empty;0;MelinaFranceChambre StandardNovembre 2022FamilleCommentaire envoyé le 29 décembre 2022Fabuleux ;Sequoia_Lodge
Jolanda;Pays-Bas;Chambre Golden Forest Club;2;Décembre 2022;Famille;Commentaire envoyé le 29 décembre 2022;Fabuleux ;9;empty;empty;0;JolandaPays-BasChambre Golden Forest ClubDécembre 2022FamilleCommentaire envoyé le 29 décembre 2022Fabuleux ;Sequoia_Lodge
Inès;Belgique;Chambre Golden Forest Club;1;Décembre 2022;Groupe;Commentaire envoyé le 29 décembre 2022;Fabuleux ;9;empty;empty;0;InèsBelgiqueChambre Golden Forest ClubDécembre 2022GroupeCommentaire envoyé le 29 décembre 2022Fabuleux ;Sequoia_Lodge
Sébastien;Belgique;Chambre Standard;1;Décembre 2022;Groupe;Commentaire envoyé le 29 décembre 2022;Exceptionnel;10;"super bien positionné pour le parc ! 
un comfort exceptionnel niveau lit tri !
déjeuné et dîner excellent";empty;Na;SébastienBelgiqueChambre StandardDécembre 2022GroupeCommentaire envoyé le 29 décembre 2022Exceptionnel;Sequoia_Lodge
