country;nuitee;traveler_infos;review_title;positive_review;negative_review;usefulness_review;delay_comment;id_client
Royaume-Uni;1;Famille;excellent and memorable;;;0;0;1de67bb1-041c-4738-8d78-2caa0b156d42
France;1;Famille;Bien ;c’est proche de Disney;c’est cher;0;1;e3d387f5-2ac6-4149-947b-383348172e47
Belgique;1;Famille;Bien ;;;0;0;a211550b-d693-4eed-a030-f6a5ba6d1fbf
Royaume-Uni;2;Famille;amazing and very helpful staff;;;0;0;5ef62afa-cd01-4faa-9fd8-2c87e9e5ad24
France;1;Famille;On a passé un très bon moment !!;proximité du parc. décoration. propreté de la chambre. literie. calme;la ventilation du chauffage qui faisait du bruit.;0;0;71eb69c7-f1d1-47e3-88df-a90a4e255fda
Pays-Bas;1;Famille;Fijn verblijf gehad, hebben nacht bijgeboekt en zonder problemen kunnen blijven op dezelfde kamer.;;;0;0;ef9d9c0f-c192-413e-837d-1a9c6b1d0301
Espagne;1;Couple;Agréable;;;0;0;50950b6f-4aa1-4b4b-aa23-785d83eca6c3
Italie;1;Famille;Bien ;;;0;0;fc217fe2-2467-46bf-9215-263a4bfb0439
Italie;1;Groupe;Agréable;;;0;1;133bcdde-3bfe-45f5-b8c7-b136ced41acd
Belgique;1;Couple;séjour agréable dans l’hôtel bas de gamme en équipements haut de gamme en prix;thème de l’hôtel respecte et distance par rapport aux parcs nickel , navettes régulières pour aller aux parcs;pas d’équipements pour le prix payé. ..;0;1;acdf8757-067b-47c4-8b4a-2fd8a1a77aa8
Irlande;1;Famille;Fantastic family stay;;;0;1;02d04573-2b0a-4af7-a6bb-75bfeb8d69a5
France;3;Famille;Pratique mais onéreux;"Emplacement à proximité du parc : top 
Navettes gratuites et à bonne fréquence pour se rendre au parc.
Chambre spacieuse et confortable";"Prix exorbitant - mais c’est Disney, on le sait en réservant.
Offre restauration dans l’hôtel trop réduite.";0;1;e20bf8b9-32ba-4c13-b85a-cc8d412cb28b
Singapour;1;Famille;Agréable;;;0;0;327f99f3-f44f-4d93-86cc-6d08324b0dfb
Belgique;2;Famille;Fabuleux ;;;0;1;1883e563-1877-4a74-a9c7-296c6e634197
