month_str;month_num;year;date;id_date
octobre;10;2022;2022-10-01;20221001
décembre;12;2022;2022-12-01;20221201
novembre;11;2022;2022-11-01;20221101
septembre;9;2022;2022-09-01;20220901
août;8;2022;2022-08-01;20220801
juillet;7;2022;2022-07-01;20220701
juin;6;2022;2022-06-01;20220601
mai;5;2022;2022-05-01;20220501
avril;4;2022;2022-04-01;20220401
mars;3;2022;2022-03-01;20220301
février;2;2022;2022-02-01;20220201
janvier;1;2022;2022-01-01;20220101
novembre;11;2021;2021-11-01;20211101
décembre;12;2021;2021-12-01;20211201
octobre;10;2021;2021-10-01;20211001
septembre;9;2021;2021-09-01;20210901
août;8;2021;2021-08-01;20210801
juillet;7;2021;2021-07-01;20210701
juin;6;2021;2021-06-01;20210601
octobre;10;2020;2020-10-01;20201001
septembre;9;2020;2020-09-01;20200901
août;8;2020;2020-08-01;20200801
juillet;7;2020;2020-07-01;20200701
mars;3;2020;2020-03-01;20200301
février;2;2020;2020-02-01;20200201
janvier;1;2020;2020-01-01;20200101
décembre;12;2019;2019-12-01;20191201
