room_type;id_hotel;id_room
Chambre Standard Woody's Roundup;b3fd4c1c-48f8-40c3-aaf8-436b772a4ff6;64def945-493f-458c-bd46-0005b14a00e0
;b3fd4c1c-48f8-40c3-aaf8-436b772a4ff6;f4bf5b58-2ea5-434f-9df0-b80e1acc9b1b
Chambre Double/Lit Gigogne Woody's Roundup - Côté Rivière;b3fd4c1c-48f8-40c3-aaf8-436b772a4ff6;390bed98-fc91-44f7-b180-78e60627f2d5
Chambre Woody's Roundup à Proximité des Installations;b3fd4c1c-48f8-40c3-aaf8-436b772a4ff6;ec851b25-abe6-4275-bcb1-9af13c5e4451
Chambre Standard Woody's Roundup (2 Adultes + 2 Enfants);b3fd4c1c-48f8-40c3-aaf8-436b772a4ff6;1fa42ea8-ff96-4f6f-99c9-51aeb157da15
Chambre Woody's Roundup Standard (1 Adulte + 3 Enfants);b3fd4c1c-48f8-40c3-aaf8-436b772a4ff6;6bc5ee07-7351-4fc6-ab60-78788a68fc94
Chambre Woody's Roundup avec Lit Double/Gigogne (2 Adultes + 2 Enfants) - Côté Rivière;b3fd4c1c-48f8-40c3-aaf8-436b772a4ff6;961f860e-7e9b-4e26-ac1e-3be89d168aa9
Chambre Woody's Roundup – Proche Installations Hôtelières (2 Adultes + 2 Enfants);b3fd4c1c-48f8-40c3-aaf8-436b772a4ff6;496d6555-f6a3-451e-9d18-2711e72ec463
Chambre Standard Woody's Roundup (3 Adultes + 1 Enfant);b3fd4c1c-48f8-40c3-aaf8-436b772a4ff6;e87e86c4-0c70-4e63-9fed-e22eb87f7643
Chambre Woody's Roundup proche Installations Hôtelières (3 Adultes + 1 Enfant);b3fd4c1c-48f8-40c3-aaf8-436b772a4ff6;ad568e1a-7dc7-4988-b6f0-ce97695a58db
Chambre Woody's Roundup – Proche Installations Hôtelières (1 Adulte + 3 Enfants);b3fd4c1c-48f8-40c3-aaf8-436b772a4ff6;dfd7a98c-531b-4a4c-9ff3-500ae01b9fc6
Chambre Woody's Roundup avec Lit Double/Gigogne – Côté Rivière (3 Adultes + 1 Enfant);b3fd4c1c-48f8-40c3-aaf8-436b772a4ff6;07a760b3-170c-4cd2-b5a4-6d0e755f48b2
Chambre avec Lit Double/Gigogne Woody's Roundup - proche Installations Hôtelières (2 Adultes + 2 Enfants);b3fd4c1c-48f8-40c3-aaf8-436b772a4ff6;cfadfd42-b110-46f7-89a9-ed6e1c94cc39
Chambre Woody's Roundup avec Lit Double/Gigogne – Côté Rivière (1 Adulte + 3 Enfants);b3fd4c1c-48f8-40c3-aaf8-436b772a4ff6;85d081b4-f609-4199-888c-51dce0c0bd05
Chambre Woody's Roundup avec Lit Double/Gigogne - proche Installations Hôtelières (3 Adultes + 1 Enfant);b3fd4c1c-48f8-40c3-aaf8-436b772a4ff6;b457e3a2-dbae-4509-92b8-afc715af8c45
Chambre Woody's Roundup (2 Adultes + 2 Enfants) - Côté Rivière;b3fd4c1c-48f8-40c3-aaf8-436b772a4ff6;7f081c28-3ddf-4c1a-976f-fc953b3d38fe
Chambre avec Lit Double/Gigogne Woody's Roundup - proche Installations Hôtelières (1 Adulte + 3 Enfants);b3fd4c1c-48f8-40c3-aaf8-436b772a4ff6;48e91c1a-ad6f-43ca-9f81-7e2b52444f73
Bungalow Tribu Trappeur;b1c5075b-b610-43fd-b500-b602a2011494;9b474baa-82c0-4b7e-8160-4e6f7742d543
Bungalow Tribu Pionnier;b1c5075b-b610-43fd-b500-b602a2011494;0bb73897-4c82-467f-b6e6-44b970dcbe3e
;b1c5075b-b610-43fd-b500-b602a2011494;84b0b70c-0fcd-480f-b702-356f7a7a4564
Bungalow Tribu Pionnier (2 Adultes + 4 Enfants);b1c5075b-b610-43fd-b500-b602a2011494;149e374f-d953-4770-a3e1-cda8c9f1f3d5
Bungalow Tribu Trappeur (3 Adultes + 3 Enfants);b1c5075b-b610-43fd-b500-b602a2011494;bb483b5b-558a-4730-a5fd-d1a8a0a35639
Bungalow Tribu Trappeur (2 Adultes + 4 Enfants);b1c5075b-b610-43fd-b500-b602a2011494;5867544e-551c-4aaf-8af4-8dc07bc21787
Bungalow Tribu Trappeur (4 Adultes + 2 Enfants);b1c5075b-b610-43fd-b500-b602a2011494;15b3f36a-2a2a-45f3-9a85-107907e963b0
Bungalow Tribu Pionnier (4 Adultes + 2 Enfants);b1c5075b-b610-43fd-b500-b602a2011494;0334c3af-8f10-4864-b193-90c33eaaec4b
Bungalow Tribu Trappeur (5 Adultes + 1 Enfant);b1c5075b-b610-43fd-b500-b602a2011494;0cbb73b1-e538-4d6b-a847-9a41ab6f61a0
Bungalow Tribu Premium (5 Adultes + 1 Enfant);b1c5075b-b610-43fd-b500-b602a2011494;12a5293b-a930-45c4-a728-1d6690c04235
Bungalow Tribu Premium (2 Adultes + 4 Enfants);b1c5075b-b610-43fd-b500-b602a2011494;ec5237a8-9122-492f-ab03-3c385dd69349
Bungalow Tribu Pionnier (3 Adultes + 3 Enfants);b1c5075b-b610-43fd-b500-b602a2011494;16160b3b-3fac-4d0d-b48d-d829e637a767
Bungalow Tribu Premium (4 Adultes + 2 Enfants);b1c5075b-b610-43fd-b500-b602a2011494;9956330a-1323-4252-9006-f2b86dbf5537
